Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
2841,Televisão ,"TV QLED 65 Q60C 4K SMART (60HZ/QHD 85287200 460 5405 UN 1,0000 4.199,000 4.199,00 0,00 0,00 0,00 0.00% 0.00%
R/TIZEN)",3779.1,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,41383.0,2023-12-19,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2842,Impressora ,"Impressora Brothcr Ll!D Color HLL3240CDW.
Duplcx, Wi-fi. Etherncl. USB 127V",3359.78,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,1336.0,2024-05-27,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2843,Quadro branco ,Quadro Branco Moldura Alumínio 150 x 120 cm ,180.0,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,5954.0,2024-06-06,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2844,Quadro branco ,Quadro Branco Moldura Alumínio 150 x 120 cm ,180.0,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,5954.0,2024-06-06,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2845,Quadro branco com Cavalete,Quadro Branco Fórmica 90 X 120 Cm Com Cavalete Com Rodas,650.0,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,4039.0,2024-06-19,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2846,Quadro branco com Cavalete,Quadro Branco Fórmica 90 X 120 Cm Com Cavalete Com Rodas,650.0,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,4039.0,2024-06-19,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2847,Cadeira,"Cadeira Universitária Executiva -
Prancheta Dobrável - Espuma Injetada",599.0,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,3384.0,2024-06-11,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2848,Cadeira,"Cadeira Universitária Executiva -
Prancheta Dobrável - Espuma Injetada",599.0,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,3384.0,2024-06-11,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2849,Cadeira,"Cadeira Universitária Executiva -
Prancheta Dobrável - Espuma Injetada",599.0,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,3384.0,2024-06-11,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2850,Cadeira,"Cadeira Universitária Executiva -
Prancheta Dobrável - Espuma Injetada",599.0,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,3384.0,2024-06-11,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2851,Cadeira,"Cadeira Universitária Executiva -
Prancheta Dobrável - Espuma Injetada",599.0,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,3384.0,2024-06-11,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2852,Cadeira,"Cadeira Universitária Executiva -
Prancheta Dobrável - Espuma Injetada",599.0,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,3384.0,2024-06-11,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2853,Cadeira,"Cadeira Universitária Executiva -
Prancheta Dobrável - Espuma Injetada",599.0,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,3384.0,2024-06-11,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2854,Cadeira,"Cadeira Universitária Executiva -
Prancheta Dobrável - Espuma Injetada",599.0,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,3384.0,2024-06-11,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2855,Cadeira,"Cadeira Universitária Executiva -
Prancheta Dobrável - Espuma Injetada",599.0,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,3384.0,2024-06-11,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2856,Cadeira,"Cadeira Universitária Executiva -
Prancheta Dobrável - Espuma Injetada",599.0,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,3384.0,2024-06-11,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2857,Cadeira,"Cadeira Universitária Executiva -
Prancheta Dobrável - Espuma Injetada",599.0,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,3384.0,2024-06-11,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2858,Cadeira,"Cadeira Universitária Executiva -
Prancheta Dobrável - Espuma Injetada",599.0,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,3384.0,2024-06-11,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
2859,Cadeira,"Cadeira Universitária Executiva -
Prancheta Dobrável - Espuma Injetada",599.0,176.0,IFAM 2023-006 - SOFTEX - IFAM+STARTUPS (12165-7),Cássia Vilaça de Almeida,Jackson Pantoja Lima,Doado,3384.0,2024-06-11,2025-12-10,TERMO DE DOAÇÃO Nº. 094-2025
