Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2943.0,Óculos de Realidade Virtual ,"Óculos RV e RA 3D com fone e controle remoto
- 360 ° estimular e experiência de jogo imersiva;
- Som estéreo surround de 360 °;
- Alavanca de fone de ouvido ajustável;
- Lente ótica asférica da resina do diâmetro de 40mm;
- Imersão total 120 ° visual grande;
- Painel removível",247.0,73.0,IFAM 2021-020 - Espaço 4.0 - Itacoatiara (11279-8),Ana Carolina Góes Martins,Antônio Marcos Lima Xavier,Doado,1010.0,2022-10-10,2025-12-10,Termo de doação Contrato nº 002-2025
,2944.0,Óculos de Realidade Virtual ,"Óculos RV e RA 3D com fone e controle remoto
- 360 ° estimular e experiência de jogo imersiva;
- Som estéreo surround de 360 °;
- Alavanca de fone de ouvido ajustável;
- Lente ótica asférica da resina do diâmetro de 40mm;
- Imersão total 120 ° visual grande;
- Painel removível",247.0,73.0,IFAM 2021-020 - Espaço 4.0 - Itacoatiara (11279-8),Ana Carolina Góes Martins,Antônio Marcos Lima Xavier,Doado,1010.0,2022-10-10,2025-12-10,Termo de doação Contrato nº 002-2025
,2945.0,Óculos de Realidade Virtual ,"Óculos RV e RA 3D com fone e controle remoto
- 360 ° estimular e experiência de jogo imersiva;
- Som estéreo surround de 360 °;
- Alavanca de fone de ouvido ajustável;
- Lente ótica asférica da resina do diâmetro de 40mm;
- Imersão total 120 ° visual grande;
- Painel removível",247.0,73.0,IFAM 2021-020 - Espaço 4.0 - Itacoatiara (11279-8),Ana Carolina Góes Martins,Antônio Marcos Lima Xavier,Doado,1010.0,2022-10-10,2025-12-10,Termo de doação Contrato nº 002-2025
,2946.0,Óculos de Realidade Virtual ,"Óculos RV e RA 3D com fone e controle remoto
- 360 ° estimular e experiência de jogo imersiva;
- Som estéreo surround de 360 °;
- Alavanca de fone de ouvido ajustável;
- Lente ótica asférica da resina do diâmetro de 40mm;
- Imersão total 120 ° visual grande;
- Painel removível",247.0,73.0,IFAM 2021-020 - Espaço 4.0 - Itacoatiara (11279-8),Ana Carolina Góes Martins,Antônio Marcos Lima Xavier,Doado,1010.0,2022-10-10,2025-12-10,Termo de doação Contrato nº 002-2025
,2947.0,Óculos de Realidade Virtual ,"Óculos RV e RA 3D com fone e controle remoto
- 360 ° estimular e experiência de jogo imersiva;
- Som estéreo surround de 360 °;
- Alavanca de fone de ouvido ajustável;
- Lente ótica asférica da resina do diâmetro de 40mm;
- Imersão total 120 ° visual grande;
- Painel removível",247.0,73.0,IFAM 2021-020 - Espaço 4.0 - Itacoatiara (11279-8),Ana Carolina Góes Martins,Antônio Marcos Lima Xavier,Doado,1010.0,2022-10-10,2025-12-10,Termo de doação Contrato nº 002-2025
,2948.0,Óculos de Realidade Virtual ,"Óculos RV e RA 3D com fone e controle remoto
- 360 ° estimular e experiência de jogo imersiva;
- Som estéreo surround de 360 °;
- Alavanca de fone de ouvido ajustável;
- Lente ótica asférica da resina do diâmetro de 40mm;
- Imersão total 120 ° visual grande;
- Painel removível",247.0,73.0,IFAM 2021-020 - Espaço 4.0 - Itacoatiara (11279-8),Ana Carolina Góes Martins,Antônio Marcos Lima Xavier,Doado,1010.0,2022-10-10,2025-12-10,Termo de doação Contrato nº 002-2025
,2949.0,Óculos de Realidade Virtual ,"Óculos RV e RA 3D com fone e controle remoto
- 360 ° estimular e experiência de jogo imersiva;
- Som estéreo surround de 360 °;
- Alavanca de fone de ouvido ajustável;
- Lente ótica asférica da resina do diâmetro de 40mm;
- Imersão total 120 ° visual grande;
- Painel removível",247.0,73.0,IFAM 2021-020 - Espaço 4.0 - Itacoatiara (11279-8),Ana Carolina Góes Martins,Antônio Marcos Lima Xavier,Doado,1010.0,2022-10-10,2025-12-10,Termo de doação Contrato nº 002-2025
,2950.0,Óculos de Realidade Virtual ,"Óculos RV e RA 3D com fone e controle remoto
- 360 ° estimular e experiência de jogo imersiva;
- Som estéreo surround de 360 °;
- Alavanca de fone de ouvido ajustável;
- Lente ótica asférica da resina do diâmetro de 40mm;
- Imersão total 120 ° visual grande;
- Painel removível",247.0,73.0,IFAM 2021-020 - Espaço 4.0 - Itacoatiara (11279-8),Ana Carolina Góes Martins,Antônio Marcos Lima Xavier,Doado,1010.0,2022-10-10,2025-12-10,Termo de doação Contrato nº 002-2025
,2951.0,Roteador ,"Roteador Wireless
- Padrões Wireless: IEEE 802.11ac/n/g/b/a 
- Suporte ao modo Access Point;
- Antenas externas
- Alimentação por Power over Ethernet (PoE)
- Banda de frequência: 2,4 GHz / 5 GHz
",610.0,73.0,IFAM 2021-020 - Espaço 4.0 - Itacoatiara (11279-8),Ana Carolina Góes Martins,Antônio Marcos Lima Xavier,Doado,910.0,2022-12-12,2025-12-10,Termo de doação Contrato nº 002-2025
,2952.0,Projetor Multimídia,"Projetor
- Tecnologia compatível com Epson Powerlite E2 ou PowerLite U42
- Sistema de projeção: Tecnologia 3LCD de 3 chips
- Modo de projeção: Frontal / traseiro / teto
- Método de projeção: Matriz ativa TFT de polissilício
- Número de pixels: 786,432 dots (1024 x 768) x 3
- Brilho em cores - Saída de luz colorida: 3.400 lumens2
- Brilho em branco - Saída de luz branca: 3.400 lumens2
- Razão de aspecto: 4:3
- Resolução nativa: 1024 x 768 (XGA)
- Redimensionar: 1280 x 800 (WXGA), 1280 x 960 (SXGA2), 1280 x 1024 (SXGA3) 1366 x 768 (WXGA60-3), 1400 x 1050 (SXGA+),1440 x 900 (WXGA+)
- Tipo de lâmpada: 210 W UHE
- Razão de contraste: Até 15 000:1
- Reprodução de cor: Até 1,07 bilhão de cores
- Alcance do Throw-Ratio: 1.44 (Zoom: Wide), 1.95 (Zoom: Tele)
- Distância de projeção/ tamanho da tela: 30"" a 350"" (0,76 a 10,34 m)
- Tipo: Foco Manual
- Número F: 1.44
- Distância Focal: 16.7 mm
- Razão de zoom: Zoom digital: 1.0 – 1.35
- Voltagem: 100 – 240VAC ±10%, 50 / 60Hz AC
- Características: A/V Mute, Congelar, Dividir, Aspecto, Modo de Cor, Automático, Menu MHL, Volume
- Sinal de entrada: NTSC / NTSC4.43 / PAL / M-PAL / N-PAL / PAL60 / SECAM
- Interfaces: 1x USB-B, 1x HDMI, 2x Computador/Componente, 1x 
Vídeo, 1x RS-232c, 1x Saída de Monitor, Áudio 1 & 2, Áudio R & L, 1x Saída de Áudio
- Garantia: 12 meses de garantia",6920.0,73.0,IFAM 2021-020 - Espaço 4.0 - Itacoatiara (11279-8),Ana Carolina Góes Martins,Antônio Marcos Lima Xavier,Doado,910.0,2022-12-12,2025-12-10,Termo de doação Contrato nº 002-2025
,2953.0,Projetor Multimídia,"Projetor
- Tecnologia compatível com Epson Powerlite E2 ou PowerLite U42
- Sistema de projeção: Tecnologia 3LCD de 3 chips
- Modo de projeção: Frontal / traseiro / teto
- Método de projeção: Matriz ativa TFT de polissilício
- Número de pixels: 786,432 dots (1024 x 768) x 3
- Brilho em cores - Saída de luz colorida: 3.400 lumens2
- Brilho em branco - Saída de luz branca: 3.400 lumens2
- Razão de aspecto: 4:3
- Resolução nativa: 1024 x 768 (XGA)
- Redimensionar: 1280 x 800 (WXGA), 1280 x 960 (SXGA2), 1280 x 1024 (SXGA3) 1366 x 768 (WXGA60-3), 1400 x 1050 (SXGA+),1440 x 900 (WXGA+)
- Tipo de lâmpada: 210 W UHE
- Razão de contraste: Até 15 000:1
- Reprodução de cor: Até 1,07 bilhão de cores
- Alcance do Throw-Ratio: 1.44 (Zoom: Wide), 1.95 (Zoom: Tele)
- Distância de projeção/ tamanho da tela: 30"" a 350"" (0,76 a 10,34 m)
- Tipo: Foco Manual
- Número F: 1.44
- Distância Focal: 16.7 mm
- Razão de zoom: Zoom digital: 1.0 – 1.35
- Voltagem: 100 – 240VAC ±10%, 50 / 60Hz AC
- Características: A/V Mute, Congelar, Dividir, Aspecto, Modo de Cor, Automático, Menu MHL, Volume
- Sinal de entrada: NTSC / NTSC4.43 / PAL / M-PAL / N-PAL / PAL60 / SECAM
- Interfaces: 1x USB-B, 1x HDMI, 2x Computador/Componente, 1x 
Vídeo, 1x RS-232c, 1x Saída de Monitor, Áudio 1 & 2, Áudio R & L, 1x Saída de Áudio
- Garantia: 12 meses de garantia",6920.0,73.0,IFAM 2021-020 - Espaço 4.0 - Itacoatiara (11279-8),Ana Carolina Góes Martins,Antônio Marcos Lima Xavier,Doado,910.0,2022-12-12,2025-12-10,Termo de doação Contrato nº 002-2025
